,bikenum,sum,week,count
253,W20530,10406,2018-03-19 00:00:00-04:00,4
254,W20530,33851,2018-03-26 00:00:00-04:00,4
255,W20530,28761,2018-04-02 00:00:00-04:00,7
256,W20530,61310,2018-04-09 00:00:00-04:00,7
257,W20530,28913,2018-04-16 00:00:00-04:00,5
258,W20530,25692,2018-04-23 00:00:00-04:00,6
259,W20530,9967,2018-04-30 00:00:00-04:00,2
260,W20530,26501,2018-05-07 00:00:00-04:00,7
261,W20530,25304,2018-05-14 00:00:00-04:00,7
262,W20530,10431,2018-05-21 00:00:00-04:00,6
263,W20530,17002,2018-05-28 00:00:00-04:00,6
264,W20530,90083,2018-06-04 00:00:00-04:00,7
265,W20530,18242,2018-06-11 00:00:00-04:00,5
266,W20530,30148,2018-06-18 00:00:00-04:00,7
267,W20530,91216,2018-06-25 00:00:00-04:00,7
268,W20530,42664,2018-07-02 00:00:00-04:00,7
269,W20530,50015,2018-07-09 00:00:00-04:00,7
270,W20530,42016,2018-07-16 00:00:00-04:00,7
271,W20530,54473,2018-07-23 00:00:00-04:00,6
272,W20530,34894,2018-07-30 00:00:00-04:00,6
273,W20530,52589,2018-08-06 00:00:00-04:00,6
274,W20530,65458,2018-08-13 00:00:00-04:00,7
275,W20530,33278,2018-08-20 00:00:00-04:00,7
276,W20530,16571,2018-08-27 00:00:00-04:00,4
277,W20530,19107,2018-09-03 00:00:00-04:00,6
278,W20530,19741,2018-09-10 00:00:00-04:00,6
279,W20530,16011,2018-09-17 00:00:00-04:00,6
280,W21834,5892,2015-12-28 00:00:00-05:00,2
281,W21834,19132,2016-01-04 00:00:00-05:00,6
282,W21834,17099,2016-01-11 00:00:00-05:00,5
283,W21834,3272,2016-01-18 00:00:00-05:00,3
284,W21834,20544,2016-02-01 00:00:00-05:00,7
285,W21834,9110,2016-02-08 00:00:00-05:00,6
286,W21834,13210,2016-02-15 00:00:00-05:00,5
287,W21834,24887,2016-02-22 00:00:00-05:00,6
288,W21834,15570,2016-02-29 00:00:00-05:00,6
289,W21834,35228,2016-03-07 00:00:00-05:00,5
290,W21834,40271,2016-03-14 00:00:00-04:00,7
291,W21834,53608,2016-03-21 00:00:00-04:00,6
292,W21834,21116,2016-03-28 00:00:00-04:00,5
293,W21834,7155,2016-04-04 00:00:00-04:00,4
294,W21834,39653,2016-04-11 00:00:00-04:00,7
295,W21834,36292,2016-04-18 00:00:00-04:00,7
296,W21834,22752,2016-04-25 00:00:00-04:00,5
297,W21834,15013,2016-05-02 00:00:00-04:00,4
298,W21834,77957,2016-05-09 00:00:00-04:00,7
299,W21834,39528,2016-05-16 00:00:00-04:00,5
300,W21834,12244,2016-05-23 00:00:00-04:00,3
301,W21834,5174,2016-06-06 00:00:00-04:00,1
302,W21834,66094,2016-06-13 00:00:00-04:00,7
303,W21834,58416,2016-06-20 00:00:00-04:00,7
304,W21834,70469,2016-06-27 00:00:00-04:00,6
305,W21834,32189,2016-07-04 00:00:00-04:00,5
306,W21834,11521,2016-07-11 00:00:00-04:00,5
307,W21834,57561,2016-07-18 00:00:00-04:00,7
308,W21834,35848,2016-07-25 00:00:00-04:00,7
309,W21834,34566,2016-08-01 00:00:00-04:00,4
310,W21834,871,2016-08-08 00:00:00-04:00,1
311,W21834,21685,2016-08-15 00:00:00-04:00,6
312,W21834,12797,2016-08-22 00:00:00-04:00,1
313,W21834,15706,2016-08-29 00:00:00-04:00,3
314,W21834,20535,2016-09-05 00:00:00-04:00,7
315,W21834,19613,2016-09-12 00:00:00-04:00,6
316,W21834,37409,2016-09-19 00:00:00-04:00,7
317,W21834,19985,2016-09-26 00:00:00-04:00,6
318,W21834,7229,2016-10-03 00:00:00-04:00,2
319,W21834,1501,2016-10-10 00:00:00-04:00,2
320,W21834,24398,2016-10-17 00:00:00-04:00,5
321,W21834,40922,2016-10-24 00:00:00-04:00,6
322,W21834,28007,2016-10-31 00:00:00-04:00,6
323,W21834,50264,2016-11-07 00:00:00-05:00,7
324,W21834,17070,2016-11-14 00:00:00-05:00,5
325,W21834,23263,2016-11-21 00:00:00-05:00,4
326,W21834,15137,2016-11-28 00:00:00-05:00,6
327,W21834,711,2016-12-05 00:00:00-05:00,2
328,W21834,1643,2016-12-12 00:00:00-05:00,1
329,W21834,1064,2016-12-19 00:00:00-05:00,2
330,W21834,1905,2016-12-26 00:00:00-05:00,2
331,W21834,11185,2017-01-02 00:00:00-05:00,7
332,W21834,10915,2017-01-09 00:00:00-05:00,5
333,W21834,18392,2017-01-16 00:00:00-05:00,4
334,W21834,16071,2017-01-23 00:00:00-05:00,7
335,W21834,1213,2017-01-30 00:00:00-05:00,1
336,W21834,51315,2017-02-06 00:00:00-05:00,5
337,W21834,45231,2017-02-13 00:00:00-05:00,7
